UF,idade,anosest,rendtrabprinc
53,49,12,8000
53,31,15,12000
42,48,16,5000
43,26,16,6000
32,38,16,6600
41,55,16,1100
53,42,16,10000
41,32,16,3500
53,47,16,10000
27,34,16,5000
50,26,12,3000
50,44,16,8900
33,47,12,5000
33,36,14,1800
33,50,12,9000
21,49,0,4500
53,36,16,7000
33,45,16,7500
42,36,13,5000
31,30,16,4500
53,31,16,8700
41,39,16,4400
53,48,16,15000
53,33,16,8000
53,52,12,10000
15,32,16,4500
33,40,16,10000
52,37,16,5000
33,42,15,17000
53,28,14,6000
52,41,13,7017
11,58,16,5000
16,45,16,5500
14,42,16,7000
14,33,13,3000
42,56,16,12000
28,44,16,4500
14,34,16,5000
21,47,16,2200
29,50,16,35000
16,54,16,15000
14,38,16,2500
35,38,16,10032
14,49,16,5000
21,31,12,1122
26,43,11,6000
23,31,10,1100
16,49,16,8000
50,58,16,19000
14,48,13,3000
13,34,16,6000
33,47,16,10000
32,49,16,11000
35,44,16,12000
13,51,16,9000
14,35,12,4000
13,44,16,25000
14,27,16,1100
14,28,16,3000
21,36,12,3800
32,57,12,200
21,42,16,5000
41,50,15,10000
53,54,16,35000
31,37,16,11500
50,51,16,16000
27,36,16,6000
53,32,16,5000
52,49,16,12000
31,48,12,5500
51,30,12,7500
35,45,16,60000
35,43,16,15000
35,41,16,15000
52,55,14,4500
51,46,16,2500
33,36,16,5500
33,50,16,6000
33,38,16,5500
35,28,12,2300
35,28,14,2500
23,33,11,2500
33,48,16,21000
25,41,15,15000
35,48,16,20000
33,48,16,8000
35,50,16,25000
52,52,16,90000
11,38,16,8000
41,59,16,30000
33,42,16,10050
33,47,14,36000
52,50,8,1100
31,31,16,8000
33,57,16,15000
35,54,6,8000
31,37,16,5000
35,29,16,5000
35,40,16,20000
31,32,12,2000
41,49,14,8000
31,40,16,8800
33,57,13,5000
33,59,16,35000
35,38,16,20000
12,51,16,7700
23,30,16,6000
27,45,16,1700
33,49,16,15000
31,50,16,6000
33,30,16,1100
53,41,16,14000
35,56,14,2000
35,38,12,10000
42,45,16,16000
41,56,16,5000
51,38,16,2500
52,39,16,8000
12,29,16,5000
15,46,12,1170
33,30,16,10000
52,46,16,18000
35,44,16,25000
41,56,16,40000
33,42,16,4000
35,44,16,40000
43,42,16,40000
51,51,14,3000
35,58,12,8000
51,37,4,2000
31,44,12,4000
51,33,16,10000
43,52,16,25000
35,56,12,20000
23,49,16,3500
41,49,12,20000
33,57,12,12000
16,52,12,18000
24,34,15,2500
12,35,7,1100
26,38,16,2200
41,44,16,5000
52,58,9,12000
11,31,16,4000
33,43,16,5500
33,35,15,5000
11,43,16,1800
33,51,16,13000
11,47,12,6000
14,37,16,1500
35,52,16,23000
35,41,16,16000
53,29,14,3800
12,35,12,3500
22,43,16,7500
41,43,12,2200
41,50,16,16000
12,42,16,4000
12,28,15,6800
16,45,16,3500
15,46,16,3200
14,44,11,4000
12,47,16,4000
22,52,16,10000
23,51,2,2500
31,47,12,2500
31,33,16,16000
23,59,12,1500
25,45,16,1600
12,48,16,9500
41,46,16,5000
13,43,11,2500
27,40,16,6000
41,54,9,20000
35,44,14,2300
14,43,16,4830
51,29,16,2500
35,42,16,2000
33,50,16,28000
14,42,12,1500
14,42,16,2500
11,26,12,3500
11,52,16,2300
13,41,16,4000
15,42,16,25000
13,51,12,10000
14,30,16,10000
12,55,12,4000
12,38,16,1200
12,27,13,3154
23,28,12,1600
16,48,6,1600
17,34,15,4000
23,32,12,6000
33,28,16,9500
16,59,12,2700
41,42,16,20000
12,34,12,1500
43,38,13,2000
17,34,16,7000
33,57,15,5000
11,43,15,4000
13,57,16,3300
53,34,16,4000
35,33,16,5000
41,41,11,2500
13,36,16,3300
31,27,13,1628
52,42,12,2200
23,53,16,20000
17,53,16,2400
12,51,16,5000
11,52,16,5000
23,53,12,5000
41,38,16,9000
35,37,14,7800
32,59,16,20000
23,29,12,5000
52,44,16,12000
35,36,16,7300
33,35,16,9000
35,33,16,4000
35,44,16,9000
14,43,16,2000
41,32,16,45000
35,52,16,10000
32,52,14,10000
41,34,16,3000
33,39,16,3000
33,49,16,10000
33,55,16,2500
31,44,16,14000
23,42,12,2000
16,52,16,2400
35,40,16,22000
35,39,16,5000
53,49,16,22000
27,48,16,2200
33,45,16,3000
35,50,16,9700
15,35,16,7900
41,52,16,19500
25,34,16,6000
29,44,12,2000
16,40,16,1100
35,38,16,15000
52,40,15,2500
29,45,16,6000
23,38,16,16000
53,28,12,7000
42,30,16,3200
53,44,16,7000
41,57,16,5000
12,31,12,1800
26,55,13,2500
27,51,15,4000
35,49,12,4000
26,49,16,6000
41,54,16,1500
26,50,16,10000
26,45,16,15000
25,38,14,4500
35,52,12,3000
41,55,12,6000
52,59,16,5000
53,49,15,15000
53,43,16,8000
52,42,16,5000
35,45,12,3500
33,38,16,5000
41,29,12,3500
52,52,16,3500
16,57,16,14000
33,34,12,1300
32,36,16,4000
23,57,12,1100
32,59,16,15000
26,40,16,12000
31,37,16,5500
53,47,16,30000
31,31,16,5000
31,47,12,2500
31,31,16,10800
17,41,16,2000
35,32,16,31000
33,52,16,1500
